City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
231,swan hill,-35.3378,143.5544,7.55,81,0,2.9,AU,1714148895
232,reggane,26.7158,0.1714,35.58,7,94,8.97,DZ,1714148895
233,chui,-33.6971,-53.4616,21.61,85,100,5.1,UY,1714148673
234,villa gesell,-37.2639,-56.973,17.81,94,100,3.09,AR,1714148896
235,gadzhiyevo,69.2551,33.3362,0.23,87,100,5.4,RU,1714148896
236,severo-yeniseyskiy,60.3725,93.0408,-0.79,91,100,2.68,RU,1714148896
237,tulagi,-9.0996,160.1476,29.2,75,83,5.32,SB,1714148896
238,antsiranana,-12.2787,49.2917,26.32,83,100,5.75,MG,1714148691
239,yuzhno-kurilsk,44.0306,145.8556,10.21,86,40,0.59,RU,1714148896
240,kailua-kona,19.6406,-155.9956,23.98,90,75,2.57,US,1714148897
241,la ronge,55.1001,-105.2842,4.14,60,100,7.72,CA,1714148897
242,papao,-17.75,-149.55,25.82,84,82,7.08,PF,1714148897
243,ogori-shimogo,34.1,131.4,17.0,79,100,3.92,JP,1714148897
244,berezovyy,51.6667,135.7,3.44,55,78,5.1,RU,1714148897
245,walla walla,46.0646,-118.343,14.37,68,100,4.12,US,1714148821
246,isafjordur,66.0755,-23.124,3.02,93,0,2.57,IS,1714148898
247,carutapera,-1.195,-46.02,29.3,74,48,1.69,BR,1714148898
248,castillos,-34.1667,-53.8333,21.06,86,100,3.48,UY,1714148898
249,nemuro,43.3236,145.575,8.08,83,1,6.31,JP,1714148898
250,borgonovo valtidone,45.0144,9.4435,13.4,71,96,0.64,IT,1714148898
251,sovetskaya gavan',48.9723,140.2878,8.95,50,2,1.91,RU,1714148898
252,dilling,12.05,29.65,36.97,15,77,2.54,SD,1714148601
253,sao joao da barra,-21.6403,-41.0511,28.05,74,56,4.78,BR,1714148899
254,mont-dore,-22.2833,166.5833,20.99,85,100,1.95,NC,1714148707
255,lycksele,64.5954,18.6735,4.93,60,40,3.09,SE,1714148899
256,kyongsong,41.5878,129.6061,13.53,71,18,1.23,KP,1714148899
257,sangsong-ni,39.1694,126.8856,11.77,70,1,1.81,KP,1714148900
258,praia da vitoria,38.7333,-27.0667,18.14,63,20,7.99,PT,1714148900
259,milagro,42.2386,-1.764,17.37,35,100,6.67,ES,1714148900
260,ploudalmezeau,48.5333,-4.65,13.14,63,75,4.12,FR,1714148900
261,vernon,50.2581,-119.2691,10.34,91,100,0.51,CA,1714148901
262,sao vicente,-23.9631,-46.3919,31.82,63,75,0.89,BR,1714148675
263,daru,-9.0763,143.2092,27.28,84,100,7.01,PG,1714148901
264,dakhla,23.6848,-15.958,21.01,68,3,10.8,EH,1714148632
265,takoradi,4.8845,-1.7554,30.72,68,74,4.68,GH,1714148901
266,inhambane,-23.865,35.3833,24.99,69,40,4.12,MZ,1714148902
